"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVN","ROADACCID","DEATH","NBR","A","1970",620,
"SVN","ROADACCID","DEATH","NBR","A","1971",644,
"SVN","ROADACCID","DEATH","NBR","A","1972",625,
"SVN","ROADACCID","DEATH","NBR","A","1973",701,
"SVN","ROADACCID","DEATH","NBR","A","1974",557,
"SVN","ROADACCID","DEATH","NBR","A","1975",596,
"SVN","ROADACCID","DEATH","NBR","A","1976",587,
"SVN","ROADACCID","DEATH","NBR","A","1977",680,
"SVN","ROADACCID","DEATH","NBR","A","1978",729,
"SVN","ROADACCID","DEATH","NBR","A","1979",735,
"SVN","ROADACCID","DEATH","NBR","A","1980",558,
"SVN","ROADACCID","DEATH","NBR","A","1981",565,
"SVN","ROADACCID","DEATH","NBR","A","1982",569,
"SVN","ROADACCID","DEATH","NBR","A","1983",527,
"SVN","ROADACCID","DEATH","NBR","A","1984",492,
"SVN","ROADACCID","DEATH","NBR","A","1985",464,
"SVN","ROADACCID","DEATH","NBR","A","1986",504,
"SVN","ROADACCID","DEATH","NBR","A","1987",558,
"SVN","ROADACCID","DEATH","NBR","A","1988",551,
"SVN","ROADACCID","DEATH","NBR","A","1989",554,
"SVN","ROADACCID","DEATH","NBR","A","1990",517,
"SVN","ROADACCID","DEATH","NBR","A","1991",462,
"SVN","ROADACCID","DEATH","NBR","A","1992",492,
"SVN","ROADACCID","DEATH","NBR","A","1993",493,
"SVN","ROADACCID","DEATH","NBR","A","1994",505,
"SVN","ROADACCID","DEATH","NBR","A","1995",415,
"SVN","ROADACCID","DEATH","NBR","A","1996",389,
"SVN","ROADACCID","DEATH","NBR","A","1997",357,
"SVN","ROADACCID","DEATH","NBR","A","1998",309,
"SVN","ROADACCID","DEATH","NBR","A","1999",334,
"SVN","ROADACCID","DEATH","NBR","A","2000",313,
"SVN","ROADACCID","DEATH","NBR","A","2001",278,
"SVN","ROADACCID","DEATH","NBR","A","2002",268,
"SVN","ROADACCID","DEATH","NBR","A","2003",242,
"SVN","ROADACCID","DEATH","NBR","A","2004",274,
"SVN","ROADACCID","DEATH","NBR","A","2005",258,
"SVN","ROADACCID","DEATH","NBR","A","2006",262,
"SVN","ROADACCID","DEATH","NBR","A","2007",293,
"SVN","ROADACCID","DEATH","NBR","A","2008",214,
"SVN","ROADACCID","DEATH","NBR","A","2009",171,
"SVN","ROADACCID","DEATH","NBR","A","2010",138,
"SVN","ROADACCID","DEATH","NBR","A","2011",141,
"SVN","ROADACCID","DEATH","NBR","A","2012",130,
"SVN","ROADACCID","DEATH","NBR","A","2013",125,
"SVN","ROADACCID","DEATH","NBR","A","2014",108,
"SVN","ROADACCID","DEATH","NBR","A","2015",120,
"SVN","ROADACCID","DEATH","NBR","A","2016",130,
"SVN","ROADACCID","DEATH","NBR","A","2017",104,
"SVN","ROADACCID","DEATH","NBR","A","2018",91,
"SVN","ROADACCID","DEATH","NBR","A","2019",102,
"TUR","ROADACCID","INJURE","NBR","A","1970",16838,
"TUR","ROADACCID","INJURE","NBR","A","1971",19601,
"TUR","ROADACCID","INJURE","NBR","A","1972",19086,
"TUR","ROADACCID","INJURE","NBR","A","1973",21801,
"TUR","ROADACCID","INJURE","NBR","A","1974",23734,
"TUR","ROADACCID","INJURE","NBR","A","1975",27847,
"TUR","ROADACCID","INJURE","NBR","A","1976",30428,
"TUR","ROADACCID","INJURE","NBR","A","1977",33677,
"TUR","ROADACCID","INJURE","NBR","A","1978",31372,
"TUR","ROADACCID","INJURE","NBR","A","1979",26427,
"TUR","ROADACCID","INJURE","NBR","A","1980",24608,
"TUR","ROADACCID","INJURE","NBR","A","1981",29744,
"TUR","ROADACCID","INJURE","NBR","A","1982",35976,
"TUR","ROADACCID","INJURE","NBR","A","1983",44769,
"TUR","ROADACCID","INJURE","NBR","A","1984",50521,
"TUR","ROADACCID","INJURE","NBR","A","1985",51586,
"TUR","ROADACCID","INJURE","NBR","A","1986",71264,
"TUR","ROADACCID","INJURE","NBR","A","1987",80321,
"TUR","ROADACCID","INJURE","NBR","A","1988",79174,
"TUR","ROADACCID","INJURE","NBR","A","1989",80013,
"TUR","ROADACCID","INJURE","NBR","A","1990",87668,
"TUR","ROADACCID","INJURE","NBR","A","1991",90520,
"TUR","ROADACCID","INJURE","NBR","A","1992",94820,
"TUR","ROADACCID","INJURE","NBR","A","1993",104330,
"TUR","ROADACCID","INJURE","NBR","A","1994",104717,
"TUR","ROADACCID","INJURE","NBR","A","1995",114319,
"TUR","ROADACCID","INJURE","NBR","A","1996",104599,
"TUR","ROADACCID","INJURE","NBR","A","1997",106246,
"TUR","ROADACCID","INJURE","NBR","A","1998",125783,
"TUR","ROADACCID","INJURE","NBR","A","1999",125158,
"TUR","ROADACCID","INJURE","NBR","A","2000",136751,
"TUR","ROADACCID","INJURE","NBR","A","2001",116203,
"TUR","ROADACCID","INJURE","NBR","A","2002",116412,
"TUR","ROADACCID","INJURE","NBR","A","2003",118214,
"TUR","ROADACCID","INJURE","NBR","A","2004",136437,
"TUR","ROADACCID","INJURE","NBR","A","2005",154086,
"TUR","ROADACCID","INJURE","NBR","A","2006",169080,
"TUR","ROADACCID","INJURE","NBR","A","2007",189057,
"TUR","ROADACCID","INJURE","NBR","A","2008",184468,
"TUR","ROADACCID","INJURE","NBR","A","2009",201380,
"TUR","ROADACCID","INJURE","NBR","A","2010",211496,
"TUR","ROADACCID","INJURE","NBR","A","2011",238074,
"TUR","ROADACCID","INJURE","NBR","A","2012",268079,
"TUR","ROADACCID","INJURE","NBR","A","2013",274829,
"TUR","ROADACCID","INJURE","NBR","A","2014",285059,
"TUR","ROADACCID","INJURE","NBR","A","2015",304421,
"TUR","ROADACCID","INJURE","NBR","A","2016",303812,
"TUR","ROADACCID","INJURE","NBR","A","2017",300383,
"TUR","ROADACCID","INJURE","NBR","A","2018",307071,
"TUR","ROADACCID","INJURE","NBR","A","2019",283234,
"LUX","ROADACCID","DEATH","1000000HAB","A","1994",163.80219643854,
"LUX","ROADACCID","DEATH","1000000HAB","A","1995",171.30620985011,
